decile,total_loans,defaults,min_pd,max_pd,mean_pd,non_defaults,default_rate,cum_defaults,cum_non_defaults,cum_defaults_pct,cum_non_defaults_pct,ks_stat,lift
1,2052,572,0.19789233302787446,0.6134994517352287,0.25437425891610876,1480,0.2787524366471735,572,1480,0.17567567567567569,0.08574739281575898,0.0899282828599167,1.7564143090458877
2,2052,470,0.16704627334799477,0.19789233302787446,0.1805003887481193,1582,0.2290448343079922,1042,3062,0.32002457002457,0.17740440324449594,0.14262016678007408,1.4432075616286142
3,2051,400,0.14498782385314468,0.16704627334799477,0.15287557183637607,1651,0.19502681618722575,1442,4713,0.4428746928746929,0.2730590961761298,0.1698155966985631,1.2288606145261436
4,2052,364,0.12787530089063529,0.14498782385314468,0.13588791750293328,1688,0.17738791423001948,1806,6401,0.5546683046683046,0.3708574739281576,0.18381083074014704,1.117718196665565
5,2051,316,0.11297644523258357,0.12787530089063529,0.12287334777421617,1735,0.15407118478790835,2122,8136,0.6517199017199017,0.4713789107763615,0.18034099094354017,0.9707998854756534
6,2052,331,0.10530246117987321,0.11297644523258357,0.11108505171311839,1721,0.16130604288499026,2453,9857,0.7533783783783784,0.5710892236384705,0.18228915473990792,1.0163866019129177
7,2051,230,0.09446451029226077,0.10530246117987321,0.09735286505472153,1821,0.1121404193076548,2683,11678,0.824017199017199,0.676593279258401,0.1474239197587981,0.7065948533525325
8,2052,252,0.08089721735926177,0.09446451029226077,0.08892359111018407,1800,0.12280701754385964,2935,13478,0.9014127764127764,0.7808806488991888,0.12053212751358755,0.7738049053838526
9,2051,202,0.06517039080651486,0.08089721735926177,0.07359990947907609,1849,0.098488542174549,3137,15327,0.9634520884520884,0.8880069524913093,0.07544513596077906,0.6205746103357024
10,2052,119,0.036678513391580785,0.06517039080651486,0.05444861546765,1933,0.05799220272904483,3256,17260,1.0,1.0,0.0,0.3654078719868193
