feature,information_value,strength
revol_util,0.08181325825979859,Weak (0.02 - 0.10)
purpose,0.060972906172319444,Weak (0.02 - 0.10)
inq_last_6mths,0.05789981293512734,Weak (0.02 - 0.10)
annual_inc,0.04273120142548769,Weak (0.02 - 0.10)
pub_rec,0.030028531475332222,Weak (0.02 - 0.10)
pub_rec_bankruptcies,0.02256153465146063,Weak (0.02 - 0.10)
loan_amnt,0.017834405747453964,Useless (IV < 0.02)
dti,0.015228173073098936,Useless (IV < 0.02)
open_acc,0.014260176951169167,Useless (IV < 0.02)
credit_history_age,0.01342704640902149,Useless (IV < 0.02)
emp_length,0.013347818331442541,Useless (IV < 0.02)
home_ownership,0.0029377932240168803,Useless (IV < 0.02)
delinq_2yrs,0.0010544440783226076,Useless (IV < 0.02)
