Variable,Bin,WoE,Coefficient,Points
revol_util,<= 1.89,-0.014070806452915644,-1.0536960475107018,112
revol_util,"(1.89, 27.55]",0.47954772975822574,-1.0536960475107018,168
revol_util,"(27.55, 38.05]",0.12054279231260749,-1.0536960475107018,127
revol_util,"(38.05, 80.25]",-0.08215417355702652,-1.0536960475107018,104
revol_util,> 80.25,-0.37936474987180335,-1.0536960475107018,70
revol_util,Missing,-1.007322579463199,-1.0536960475107018,-1
purpose,"wedding, credit_card, car, major_purchase, home_improvement, moving",0.2767745452026045,-0.9535293176587336,142
purpose,"debt_consolidation, medical, other, vacation",-0.04122418439883509,-0.9535293176587336,109
purpose,"educational, house, renewable_energy, small_business",-0.618846649147875,-0.9535293176587336,50
inq_last_6mths,<= 0,0.22395109250706613,-1.0648931496465261,139
inq_last_6mths,"(0, 1]",-0.05497831904542254,-1.0648931496465261,107
inq_last_6mths,"(1, 2]",-0.10179598510818062,-1.0648931496465261,102
inq_last_6mths,> 2,-0.5192907476980723,-1.0648931496465261,54
annual_inc,<= 26777.97,-0.48072598733971145,-1.0680075965912832,58
annual_inc,"(26777.97, 36930.63]",-0.1723646534275257,-1.0680075965912832,93
annual_inc,"(36930.63, 60202.0]",0.02363613171215333,-1.0680075965912832,116
annual_inc,"(60202.0, 66060.0]",-0.11832833050712879,-1.0680075965912832,100
annual_inc,> 66060.0,0.20041979418751954,-1.0680075965912832,137
pub_rec,<= 0,0.045736160887604176,-0.7834349243757766,117
pub_rec,"(0, 1]",-0.6532535001912484,-0.7834349243757766,58
pub_rec,> 1,0.18972978201816304,-0.7834349243757766,129
pub_rec_bankruptcies,<= 0.0,0.04580442273369258,-0.16598340275245796,114
pub_rec_bankruptcies,> 0.0,-0.586870052914418,-0.16598340275245796,103
pub_rec_bankruptcies,Missing,-0.29909390655434237,-0.16598340275245796,108
