variable,bin_name,total_count,good_count,bad_count,default_rate,woe,iv
loan_amnt,<= 2512.5,1316,1129,187,0.14209726443768997,-0.09173281236659725,0.0006341503032346761
loan_amnt,"(2512.5, 7525.0]",6293,5559,734,0.11663753376767837,0.13495272667728117,0.006036176874524086
loan_amnt,"(7525.0, 15187.5]",6932,6034,898,0.12954414310444315,0.015283591755134007,8.914944761721517e-05
loan_amnt,"(15187.5, 21912.5]",2176,1857,319,0.14659926470588236,-0.1281853010938116,0.0020749029921664154
loan_amnt,> 21912.5,1344,1111,233,0.17336309523809523,-0.3277344235877433,0.00900002612991157
annual_inc,<= 26777.97,1553,1248,305,0.19639407598197037,-0.48072598733971145,0.023602009886530363
annual_inc,"(26777.97, 36930.63]",2214,1877,337,0.15221318879855464,-0.1723646534275257,0.003878856728203945
annual_inc,"(36930.63, 60202.0]",6345,5529,816,0.12860520094562647,0.02363613171215333,0.00019456021511158478
annual_inc,"(60202.0, 66060.0]",1080,923,157,0.14537037037037037,-0.11832833050712879,0.0008743881028816222
annual_inc,> 66060.0,6869,6113,756,0.11005968845537924,0.20041979418751954,0.014181386492760174
dti,<= 8.03,4850,4286,564,0.11628865979381443,0.1383431648737905,0.004882587935116342
dti,"(8.03, 9.61]",1374,1192,182,0.1324599708879185,-0.01033059911317314,8.149848237194922e-06
dti,"(9.61, 10.72]",953,857,96,0.10073452256033578,0.29937796746827094,0.004230669483361663
dti,"(10.72, 13.95]",2933,2556,377,0.12853733378793045,0.024241868387741734,9.458377932972091e-05
dti,> 13.95,7951,6799,1152,0.14488743554269903,-0.1144357793910496,0.006012182027054015
revol_util,<= 1.89,903,783,120,0.132890365448505,-0.014070806452915644,9.950291789461838e-06
revol_util,"(1.89, 27.55]",4442,4062,380,0.0855470508779829,0.47954772975822574,0.04729351745833749
revol_util,"(27.55, 38.05]",1947,1717,230,0.11813045711350796,0.12054279231260749,0.0014980186464302338
revol_util,"(38.05, 80.25]",7798,6699,1099,0.14093357271095153,-0.08215417355702652,0.0030033640262868925
revol_util,> 80.25,2930,2400,530,0.18088737201365188,-0.37936474987180335,0.026772036922631505
revol_util,Missing,41,29,12,0.2926829268292683,-1.007322579463199,0.003236370914323006
delinq_2yrs,<= 0,16092,13998,2094,0.13012677106636839,0.010126590157329985,9.10274564045426e-05
delinq_2yrs,"(0, 1]",1526,1316,210,0.13761467889908258,-0.054467178493879054,0.0002557312389926963
delinq_2yrs,> 1,443,376,67,0.15124153498871332,-0.16481523566274434,0.0007076853829253687
inq_last_6mths,<= 0,8462,7550,912,0.10777593949420941,0.22395109250706613,0.02162256476330616
inq_last_6mths,"(0, 1]",4990,4303,687,0.1376753507014028,-0.05497831904542254,0.0008521663910829903
inq_last_6mths,"(1, 2]",2728,2337,391,0.1433284457478006,-0.10179598510818062,0.001624760241751325
inq_last_6mths,> 2,1881,1500,381,0.2025518341307815,-0.5192907476980723,0.03380032153898686
open_acc,<= 3.5,1038,853,185,0.17822736030828518,-0.36130803724831856,0.008548660596975666
open_acc,"(3.5, 4.5]",1168,998,170,0.14554794520547945,-0.1197569204004706,0.0009691103067740526
open_acc,"(4.5, 13.5]",13070,11433,1637,0.1252486610558531,0.0539268525091624,0.002062955981947572
open_acc,"(13.5, 15.5]",1160,982,178,0.15344827586206897,-0.18190400159929207,0.002271284848464194
open_acc,> 15.5,1625,1424,201,0.1236923076923077,0.06820842425117264,0.00040816521700768054
pub_rec,<= 0,17083,14928,2155,0.12614880290347127,0.045736160887604176,0.0019453800919429804
pub_rec,"(0, 1]",942,730,212,0.22505307855626328,-0.6532535001912484,0.028016278515171966
pub_rec,> 1,36,32,4,0.1111111111111111,0.18972978201816304,6.687286821727468e-05
pub_rec_bankruptcies,<= 0.0,16648,14548,2100,0.1261412782316194,0.04580442273369258,0.001901458441375442
pub_rec_bankruptcies,> 0.0,716,563,153,0.21368715083798884,-0.586870052914418,0.016812070183635883
pub_rec_bankruptcies,Missing,697,579,118,0.16929698708751795,-0.29909390655434237,0.0038480060264493056
credit_history_age,<= 69.5,1900,1612,288,0.15157894736842106,-0.16744131673104504,0.0031356963146514007
credit_history_age,"(69.5, 82.5]",989,889,100,0.10111223458038422,0.29521528986414036,0.004275897154062466
credit_history_age,"(82.5, 112.5]",2528,2218,310,0.12262658227848101,0.07807711076944773,0.000828976354056571
credit_history_age,"(112.5, 191.5]",7724,6642,1082,0.1400828586224754,-0.07510981713140773,0.0024801691875562157
credit_history_age,> 191.5,4920,4329,591,0.12012195121951219,0.10156407037420968,0.002706307398694835
emp_length,<= 1.5,4159,3611,548,0.13176244289492667,-0.004247025332230607,4.160033270113294e-06
emp_length,"(1.5, 3.5]",4281,3754,527,0.12310207895351553,0.07366490894341891,0.0012516839902048536
emp_length,"(3.5, 4.5]",1543,1333,210,0.13609850939727802,-0.04163197020043282,0.00015036015493726247
emp_length,"(4.5, 9.5]",4212,3684,528,0.12535612535612536,0.05294635400726317,0.000641094967753483
emp_length,> 9.5,3548,3064,484,0.13641488162344984,-0.04432013551782271,0.00039221799566720004
emp_length,Missing,318,244,74,0.23270440251572327,-0.6966086275726407,0.010908301189609629
home_ownership,MORTGAGE,7544,6602,942,0.12486744432661719,0.057410878175102466,0.0013478264794771291
home_ownership,OWN,1447,1259,188,0.1299239806496199,0.011919311552725268,1.1332336325144654e-05
home_ownership,RENT,8970,7746,1224,0.13645484949832776,-0.04465936265924671,0.0010069625954148042
